word,sentence
laziest,The _ person I know never makes their bed.
monkey,A _ is a primate with a long tail.
carriage,The _ transported wealthy passengers in comfort.
drain,The water will _ from the sink after you pull the plug.
steam,The hot _ rose from the boiling kettle.
chill,To _ means to relax and calm down.
odd,Seven is an _ number.
refuse,I _ to believe his story because it was full of holes.
proof,_ is evidence or argument establishing a fact or the truth of a statement.
tower,"A tall structure, like a church steeple or skyscraper, can be described as a _."
earring,She lost one of her _ while dancing.
cure,A _ is something that eliminates a disease.
snapping,The dog was _ at the mailman.
seeking,She is _ employment after graduating from college.
starry,"The _ sky was filled with bright, twinkling stars."
families,_ are groups of people related to each other.
junk,We threw the _ in the trash.
since,"_ I moved, I have been happier."
maybe,_ means possibly or perhaps.
beast,A _ is a wild and dangerous animal.
delight,_ is a feeling of great pleasure and joy.
locate,To find or _ something means to discover its position.
truth,_ is what corresponds to reality.
prove,To _ means to demonstrate the truth of something.
stalk,A hunter might _ a deer through the woods.
scarce,"During the drought, water was _."
board,The _ can be used to cut vegetables.
bragging,_ is talking about yourself in a proud and boastful way.
visiting,We are _ my grandmother next week.
melody,The sweet _ of the song made everyone smile.
spied,"From the window, she _ a robin in the garden."
equal,Five plus five must _ ten.
practice,"To improve, you need to _ regularly."
break,I might _ the glass if I drop it.
believe,To _ is to accept something as true.
build,"To _ a house, you need wood and tools."
slope,The _ of the hill made it difficult to climb.
young,_ means not old.
group,"A _ is a number of people or things that are located, gathered, or classed together."
couple,A _ means two.
weird,That clown's oversized shoes and tiny hat made him look _.
course,The main _ of the meal was delicious.
handled,She _ the fragile vase with care.
mixed,The paint colors were _ together.
movie,A _ is a film shown in a cinema or on television.
happiest,Being _ means experiencing the most joy.
ache,My muscles _ after the long hike.
marriage,_ is the legally or formally recognized union of two people as partners in a relationship.
sale,The store had a _ on shoes.
speck,A _ is a tiny spot or particle.
ditch,They decided to _ the old car and buy a new one.
throat,The _ is the passage in your neck that leads to your lungs and stomach.
clue,A _ is a piece of information that helps solve a mystery.
brook,A _ is a small stream.
howl,Wolves _ to communicate with each other over long distances.
sharp,The knife has a _ edge.
worth,The painting's estimated value shows how much it is _.
dripped,"Water _ from the leaky faucet, meaning it fell in small drops."
shipped,The company _ the package yesterday.
duty,It is my _ to vote in every election.
ladies,_ refers to women.
public,The park is open to the _.
baggage,_ refers to the suitcases and bags you take when you travel.
hang,Please _ the picture on the wall.
kept,She _ her promise.
decide,To _ means to make a choice.
host,The person who will _ the party is my sister.
trunk,An elephant uses its _ to pick up food.
foolish,It was _ to try and carry all those groceries at once.
false,Something that is not true is _.
rear,The _ of the car was damaged in the accident.
early,_ means before the usual or expected time.
begged,She _ for forgiveness after breaking the vase.
phoning,She was _ her mother to give her the good news.
drowsy,"Feeling _ , I almost fell asleep in class."
friendlier,A golden retriever is often considered a _ dog breed.
attack,To _ is to aggressively initiate physical or verbal conflict.
office,Her _ is where she works.
stain,The spilled coffee left a dark _ on the white tablecloth.
cheap,_ means low in price or quality.
witness,I will _ the signing of the contract.
online,_ means connected to and available through the internet.
amuse,The comedian tried to _ the audience with jokes.
bush,A _ is a shrub with many branches.
dawn,_ is the time of day when the sun begins to rise.
spare,Do you have a _ moment to talk?
return,Please _ the book to the library when you are finished.
dared,He _ to speak his mind.
offered,"She _ help with the dishes, meaning she volunteered to do so."
chimney,The smoke from the fireplace rose up the _.
studied,She _ diligently for the exam.
struck,The clock _ twelve.
message,A _ is a communication or piece of information.
glass,"A _ is a hard, transparent material often used for windows."
pretend,To _ is to act as if something is true when it is not.
wind,The _ blew fiercely through the trees.
shock,The sudden loud noise gave me a _.
suit,"A _ is a set of clothes made of the same fabric, usually worn for formal occasions."
crooked,"The picture hung _ on the wall, indicating it wasn't straight."
allow,To _ means to permit or let something happen.
gear,The bicycle's _ helped him climb the steep hill.
pure,_ water contains nothing but H₂O.
skipped,She _ happily down the path.
smelling,_ flowers is a pleasant experience.
plenty,There is _ of food for everyone.
busier,"During the holidays, stores become _."
earthquake,An _ is a sudden and violent shaking of the ground.
science,_ is a systematic and organized way of acquiring knowledge about the natural world.
raft,A _ is a flat structure used for floating on water.
greed,_ is an excessive desire for wealth or possessions.
district,A _ is a specific area or region.
solve,To _ a problem means to find a way to deal with it.
rude,It is _ to interrupt someone when they are talking.
booth,"A _ is a small enclosed space, like a voting _ or a phone _."
drown,To _ is to die from being underwater and unable to breathe.
hairy,My dog is very _.
world,The _ is the earth and all the people and things on it.
hitting,_ the baseball sent it flying over the fence.
hiking,"_ is a recreational activity that involves walking in natural environments, often on trails."
daily,The _ newspaper provides updates every day.
breezier,The hilltop felt _ than the valley below.
picnic,"A _ is a meal eaten outdoors, usually in a park or other scenic location."
chance,"There is a _ that we will see the sun today, meaning there's a possibility it will happen."
jail,_ is a place where people are confined after breaking the law.
shelf,A _ is a flat piece of wood used for storing things.
inch,An _ is a unit of length equal to one twelfth of a foot.
known,Something that is _ is something that is familiar or recognized.
trust,To _ someone means to believe they are honest and reliable.
raccoon,The _ is a nocturnal mammal known for its masked face and ringed tail.
pause,A _ is a brief stop in an action or speech.
compare,To _ means to examine the similarities and differences between two or more things.
search,To _ is to look carefully for something.
spotted,I _ a deer in the woods.
checking,I am _ the spelling in my essay.
alley,An _ is a narrow passageway between buildings.
prettiest,"The _ flower in the garden was a vibrant red rose, admired by all who passed by."
banker,A _ manages money and financial services at a bank.
notice,Did you _ the new painting in the hallway?
crayon,I used a _ to color the picture.
least,The _ amount I can accept is five dollars.
sigh,"She let out a _, a sound of relief after finishing the difficult task."
remote,"The cabin was in a _ location, far from any towns."
dew,_ is the moisture that forms on cool surfaces overnight.
hook,A _ is a curved piece of metal or other material used for catching or holding something.
fault,"The accident was my _, not hers."
alarm,The loud siren served as an _ to warn people of danger.
worse,"If you feel sick, the flu will only make it _."
raced,The cars _ around the track.
fainted,"Overcome by the heat, she _ and fell to the ground."
fifty,_ is the number that comes after forty-nine.
noisier,A construction site is often _ than a library.
electric,An _ appliance needs electricity to function.
manage,I can _ to finish all my work before leaving.
fact,A _ is something that is true.
eager,The puppy was _ to please its new owner.
fright,The sudden loud noise gave her a terrible _.
stock,The store keeps a large _ of canned goods.
stuck,The car was _ in the mud.
groom,"To _ means to tidy and clean, often referring to animals or oneself."
cause,The _ of the fire was a faulty wire.
harsh,The _ weather made it difficult to travel.
thirteen,_ is the number after twelve.
dimmed,"The lights _ , meaning they became less bright."
landed,The plane _ safely on the runway.
empty,"The glass is _, meaning there is nothing inside."
healthier,Eating more fruits and vegetables is a way to become _.
blanket,A _ is a covering used to keep you warm.
palace,"A _ is a grand and stately residence, especially that of a monarch or president."
stale,"The bread was _, meaning it was old and no longer fresh."
reason,The _ is the explanation or justification for an action or event.
remind,To _ someone is to cause them to remember something.
boast,To _ is to talk about yourself excessively and proudly.
rescue,Firefighters _ people from burning buildings.
roof,The _ protects the house from rain and snow.
amount,The _ of sugar needed for the recipe is one cup.
upstairs,The bedrooms are located _.
sport,Basketball is a _ played around the world.
spinning,The top was _ rapidly on the table.
becoming,The caterpillar is _ a butterfly.
injury,An _ is any harm done to the body.
butterflies,"_ are insects with large, colorful wings."
mistake,A _ is an action or judgment that is wrong or misguided.
bandage,She wrapped a _ around her injured knee.
steak,"I ordered a _ , a cut of beef cooked on the grill."
chief,The _ is the leader of the tribe.
splice,"To mend the broken rope, we had to _ the ends together."
globe,A _ is a spherical representation of the Earth.
brush,I use a _ to comb my hair.
soup,"_ is a liquid food, typically made by boiling meat, vegetables, or both in stock or water."
cloudier,The sky became _ as the storm approached.
square,A _ has four equal sides and four right angles.
current,The _ of the river swept the boat downstream.
escaped,The bird _ from its cage.
wandering,"He enjoyed _ through the forest, taking in the sights and sounds."
prairie,"The _ is a large, open grassland."
funniest,The _ clown at the circus made everyone laugh.
stomach,The _ is the organ in your body that digests food.
furnace,The _ heats the house by burning fuel to produce warmth.
ashamed,Feeling _ means you are embarrassed or guilty about something you did.
complete,"To _ the puzzle, you must fit all the pieces together."
borrow,"Please _ my pen, but return it when you are finished."
undercover,"The police officer was working _ , trying to gather information without being recognized."
cartoon,"A _ is a simple drawing, often humorous, used in newspapers or animated for films."
author,The _ is the person who wrote the book.
aware,To be _ means to know something is happening or exists.
worthwhile,An activity that makes good use of your time and energy is considered _.
forgetting,_ means being unable to remember something.
honored,To be _ is to be given special respect or recognition.
colony,A _ is a group of people or animals living in a new territory but retaining ties with the parent state.
memories,_ are recollections of past events or experiences.
youngster,A _ is a young person.
average,The _ is the usual number found by adding values together and dividing by the number of values.
remain,"After the flood, only a few houses _ standing."
sleeve,The _ covers your arm from your shoulder to your wrist.
ticket,A _ is a piece of paper that allows you to enter a place or event.
compose,The parts _ a beautiful whole.
bruise,The fall caused a painful _ on her arm.
choose,To _ is to pick an option.
sprawl,The city's suburbs _ across the valley.
pardon,_ means to excuse or forgive someone for a mistake or offense.
foreword,The _ is an introductory section at the beginning of a book.
admitted,She _ that she had eaten the last cookie.
modeling,"She enjoyed _ for a local clothing store, showcasing their latest designs."
eerie,"The abandoned house had an _ , unsettling feeling."
terrified,The loud bang made the cat _.
quaver,Her voice began to _ as she spoke about the difficult topic.
justice,_ means fairness and rightness in the way people are treated.
grasp,To _ something means to understand it.
engine,A car _ provides the power to make it move.
surprise,A _ is an unexpected or astonishing event.
rocket,A _ is a vehicle propelled by the force of exploding gases.
accuse,To _ someone is to formally charge them with wrongdoing.
childhood,_ is the period of life when one is a child.
ounce,"An _ is a unit of weight, often used for measuring food."
career,A _ is a long-term job or profession that someone trains for and pursues.
research,_ is a careful study to find and learn facts.
equaled,The sum of five and five _ ten.
securing,_ the perimeter ensures the building is safe.
angry,"_ means feeling or showing strong annoyance, displeasure, or hostility."
scariest,The _ part of the movie was when the monster jumped out.
attic,The _ is the space found directly below the roof of a house.
knowledge,_ is the understanding of a subject.
exact,The _ time was 3:00 PM.
defend,To _ is to protect someone or something from attack.
brighten,A smile can _ someone's day.
doctor,A _ is a person trained to treat illnesses and injuries.
stew,A _ is a dish cooked slowly in liquid.
bookstore,A _ is a shop that sells books.
coward,A _ is someone who lacks courage in the face of danger or pain.
weary,"After a long day of hiking, I felt _."
further,"To clarify, _ information can be found on our website."
glistening,"The dew drops on the grass were _, reflecting the morning light."
shuddered,She _ as the cold wind blew against her skin.
melodious,The bird's _ song filled the air with beauty.
victories,The team celebrated their many _ after a successful season.
slingshot,A _ is a Y-shaped toy used to launch small projectiles.
fragrance,"The _ of roses filled the air, indicating a pleasant scent."
